Index Name,Date,Open,High,Low,Close
NIFTY 50,10-Jun-24,23319.15,23411.9,23227.15,23259.2
NIFTY 50,11-Jun-24,23283.75,23389.45,23206.65,23264.85
NIFTY 50,12-Jun-24,23344.45,23441.95,23295.95,23322.95
NIFTY 50,13-Jun-24,23480.95,23481.05,23353.9,23398.9
NIFTY 50,14-Jun-24,23464.95,23490.4,23334.25,23465.6
NIFTY 50,18-Jun-24,23570.8,23579.05,23499.7,23557.9
NIFTY 50,19-Jun-24,23629.85,23664,23412.9,23516
NIFTY 50,20-Jun-24,23586.15,23624,23442.6,23567
NIFTY 50,21-Jun-24,23661.15,23667.1,23398.2,23501.1
NIFTY 50,24-Jun-24,23382.3,23558.1,23350,23537.85
NIFTY 50,25-Jun-24,23577.1,23754.15,23562.05,23721.3
NIFTY 50,26-Jun-24,23723.1,23889.9,23670.45,23868.8
NIFTY 50,27-Jun-24,23881.55,24087.45,23805.4,24044.5
NIFTY 50,28-Jun-24,24085.9,24174,23985.8,24010.6
NIFTY 50,01-Jul-24,23992.95,24164,23992.7,24141.95
NIFTY 50,02-Jul-24,24228.75,24236.35,24056.4,24123.85
NIFTY 50,03-Jul-24,24291.75,24309.15,24207.1,24286.5
NIFTY 50,04-Jul-24,24369.95,24401,24281,24302.15
NIFTY 50,05-Jul-24,24213.35,24363,24168.85,24323.85
NIFTY 50,08-Jul-24,24329.45,24344.6,24240.55,24320.55
NIFTY 50,09-Jul-24,24351,24443.6,24331.9,24433.2
NIFTY 50,10-Jul-24,24459.85,24461.05,24141.8,24324.45
NIFTY 50,11-Jul-24,24396.55,24402.65,24193.75,24315.95
NIFTY 50,12-Jul-24,24387.95,24592.2,24331.15,24502.15
NIFTY 50,15-Jul-24,24587.6,24635.05,24522.75,24586.7
NIFTY 50,16-Jul-24,24615.9,24661.25,24587.65,24613
NIFTY 50,18-Jul-24,24543.8,24837.75,24504.45,24800.85
NIFTY 50,19-Jul-24,24853.8,24854.8,24508.15,24530.9
NIFTY 50,22-Jul-24,24445.75,24595.2,24362.3,24509.25
NIFTY 50,23-Jul-24,24568.9,24582.55,24074.2,24479.05
NIFTY 50,24-Jul-24,24444.95,24504.25,24307.25,24413.5
NIFTY 50,25-Jul-24,24230.95,24426.15,24210.8,24406.1
NIFTY 50,26-Jul-24,24423.35,24861.15,24410.9,24834.85
NIFTY 50,29-Jul-24,24943.3,24999.75,24774.6,24836.1
NIFTY 50,30-Jul-24,24839.4,24971.75,24798.65,24857.3
NIFTY 50,31-Jul-24,24886.7,24984.6,24856.5,24951.15
NIFTY 50,01-Aug-24,25030.95,25078.3,24956.4,25010.9
NIFTY 50,02-Aug-24,24789,24851.9,24686.85,24717.7
NIFTY 50,05-Aug-24,24302.85,24350.05,23893.7,24055.6
NIFTY 50,06-Aug-24,24189.85,24382.6,23960.4,23992.55
NIFTY 50,07-Aug-24,24289.4,24337.7,24184.9,24297.5
NIFTY 50,08-Aug-24,24248.55,24340.5,24079.7,24117
NIFTY 50,09-Aug-24,24386.85,24419.75,24311.2,24367.5
NIFTY 50,12-Aug-24,24320.05,24472.8,24212.1,24347
NIFTY 50,13-Aug-24,24342.35,24359.95,24116.5,24139
NIFTY 50,14-Aug-24,24184.4,24196.5,24099.7,24143.75
NIFTY 50,16-Aug-24,24334.85,24563.9,24204.5,24541.15
NIFTY 50,19-Aug-24,24636.35,24638.8,24522.95,24572.65
NIFTY 50,20-Aug-24,24648.9,24734.3,24607.2,24698.85
NIFTY 50,21-Aug-24,24680.55,24787.95,24654.5,24770.2
NIFTY 50,22-Aug-24,24863.4,24867.35,24784.45,24811.5
NIFTY 50,23-Aug-24,24845.4,24858.4,24771.65,24823.15
NIFTY 50,26-Aug-24,24906.1,25043.8,24874.7,25010.6
NIFTY 50,27-Aug-24,25024.8,25073.1,24973.65,25017.75
NIFTY 50,28-Aug-24,25030.8,25129.6,24964.65,25052.35
NIFTY 50,29-Aug-24,25035.3,25192.9,24998.5,25151.95
NIFTY 50,30-Aug-24,25249.7,25268.35,25199.4,25235.9
NIFTY 50,02-Sep-24,25333.6,25333.65,25235.5,25278.7
NIFTY 50,03-Sep-24,25313.4,25321.7,25235.8,25279.85
NIFTY 50,04-Sep-24,25089.95,25216,25083.8,25198.7
NIFTY 50,05-Sep-24,25250.5,25275.45,25127.75,25145.1
NIFTY 50,06-Sep-24,25093.7,25168.75,24801.3,24852.15
NIFTY 50,09-Sep-24,24823.4,24957.5,24753.15,24936.4
NIFTY 50,10-Sep-24,24999.4,25130.5,24896.8,25041.1
NIFTY 50,11-Sep-24,25034,25113.7,24885.15,24918.45
NIFTY 50,12-Sep-24,25059.65,25433.35,24941.45,25388.9
NIFTY 50,13-Sep-24,25430.45,25430.5,25292.45,25356.5
NIFTY 50,16-Sep-24,25406.65,25445.7,25336.2,25383.75
NIFTY 50,17-Sep-24,25416.9,25441.65,25352.25,25418.55
NIFTY 50,18-Sep-24,25402.4,25482.2,25285.55,25377.55
NIFTY 50,19-Sep-24,25487.05,25611.95,25376.05,25415.8
NIFTY 50,20-Sep-24,25525.95,25849.25,25426.6,25790.95
NIFTY 50,23-Sep-24,25872.55,25956,25847.35,25939.05
NIFTY 50,24-Sep-24,25921.45,26011.55,25886.85,25940.4
NIFTY 50,25-Sep-24,25899.45,26032.8,25871.35,26004.15
NIFTY 50,26-Sep-24,26005.4,26250.9,25998.4,26216.05
NIFTY 50,27-Sep-24,26248.25,26277.35,26151.4,26178.95
NIFTY 50,30-Sep-24,26061.3,26134.7,25794.1,25810.85
NIFTY 50,01-Oct-24,25788.45,25907.6,25739.2,25796.9
NIFTY 50,03-Oct-24,25452.85,25639.45,25230.3,25250.1
NIFTY 50,04-Oct-24,25181.9,25485.05,24966.8,25014.6
NIFTY 50,07-Oct-24,25084.1,25143,24694.35,24795.75
NIFTY 50,08-Oct-24,24832.2,25044,24756.8,25013.15
NIFTY 50,09-Oct-24,25065.8,25234.05,24947.7,24981.95
NIFTY 50,10-Oct-24,25067.05,25134.05,24979.4,24998.45
NIFTY 50,11-Oct-24,24985.3,25028.65,24920.05,24964.25
NIFTY 50,14-Oct-24,25023.45,25159.75,25017.5,25127.95
NIFTY 50,15-Oct-24,25186.3,25212.05,25008.15,25057.35
NIFTY 50,16-Oct-24,25008.55,25093.4,24908.45,24971.3
